date,time,ax,ay,az,temp,hum,gas,heart,ir,flame,status
2025-10-29,20:44:45,-3268,12424,-10824,30.60,71.80,1312,101.00,1,1,SAFE
2025-10-29,20:44:46,-3368,12544,-10816,30.60,71.80,1326,100.00,1,1,SAFE
2025-10-29,20:44:47,-3340,12420,-10800,30.60,71.80,1322,101.00,1,1,SAFE
2025-10-29,20:44:48,-3316,12472,-10936,30.60,71.80,1312,103.00,1,1,SAFE
2025-10-29,20:44:49,-3256,12464,-10864,30.60,71.80,1314,100.00,1,1,SAFE
2025-10-29,20:44:50,-3280,12460,-10832,30.50,71.80,1310,99.00,1,1,SAFE
2025-10-29,20:44:51,-3332,12500,-10880,30.50,71.80,1316,99.00,1,1,SAFE
2025-10-29,20:44:52,-3332,12568,-10700,30.50,71.90,1309,100.00,1,1,SAFE
2025-10-29,20:44:53,-3356,12492,-10884,30.50,71.90,1310,102.00,1,1,SAFE
2025-10-29,20:44:54,-3532,12952,-10408,30.50,71.90,1323,80.00,0,1,UNSAFE
2025-10-29,20:44:55,-3640,12512,-10728,30.50,71.90,1316,97.00,0,1,UNSAFE
2025-10-29,20:44:56,-3692,12512,-10840,30.50,71.90,1309,99.00,0,1,UNSAFE
2025-10-29,20:44:57,-3708,12500,-10808,30.50,71.90,1309,98.00,0,1,UNSAFE
2025-10-29,20:44:58,-3684,12420,-10676,30.50,72.10,1311,102.00,0,1,UNSAFE
2025-10-29,20:44:59,-3212,12400,-11000,30.50,72.10,1313,102.00,1,1,SAFE
2025-10-29,20:45:00,-3092,12404,-11136,30.50,72.40,1316,101.00,1,1,SAFE
2025-10-29,20:45:01,-3140,12332,-11060,30.50,72.40,1301,100.00,1,1,SAFE
2025-10-29,20:45:02,-3028,12440,-11188,30.50,72.50,1301,99.00,1,1,SAFE
2025-10-29,20:45:03,-3128,12332,-11228,30.50,72.50,1302,103.00,1,1,SAFE
2025-10-29,20:45:04,-3096,12384,-11112,30.50,72.40,1307,100.00,1,1,SAFE
2025-10-29,20:45:05,-3092,12356,-10988,30.50,72.40,1307,101.00,1,1,SAFE
2025-10-29,20:45:06,-3616,12856,-10976,30.50,72.40,1299,92.00,0,0,UNSAFE
2025-10-29,20:45:07,-3132,12464,-11140,30.50,72.40,1314,103.00,0,0,UNSAFE
2025-10-29,20:45:08,-3112,12412,-10988,30.40,72.30,1303,112.00,1,1,SAFE
2025-10-29,20:45:09,-3116,12356,-10960,30.40,72.30,1316,99.00,0,0,UNSAFE
2025-10-29,20:45:10,-3176,12396,-11032,30.40,72.30,1305,101.00,0,0,UNSAFE
2025-10-29,20:45:11,-3196,12428,-11140,30.40,72.30,1312,103.00,0,0,UNSAFE
2025-10-29,20:45:12,-3124,12400,-11060,30.40,72.30,1310,103.00,0,0,UNSAFE
2025-10-29,20:45:13,-3184,12432,-10992,30.40,72.30,1308,101.00,0,0,UNSAFE
2025-10-29,20:45:14,-3148,12460,-11164,30.40,72.30,1297,105.00,1,1,SAFE
2025-10-29,20:45:15,-3132,12500,-11132,30.40,72.30,1310,105.00,1,1,SAFE
2025-10-29,20:45:16,-3160,12376,-11080,30.40,72.30,1312,97.00,1,1,SAFE
2025-10-29,20:45:17,-3076,12440,-10984,30.40,72.30,1314,103.00,1,1,SAFE
2025-10-29,20:45:19,-3140,12448,-10980,30.40,72.30,1311,102.00,1,1,SAFE
2025-10-29,20:45:20,-3184,12404,-11052,30.40,72.30,1311,101.00,1,1,SAFE
2025-10-29,20:45:21,-3124,12392,-11004,30.60,72.30,1325,101.00,1,1,SAFE
2025-10-29,20:45:22,-3192,12408,-10984,30.60,72.30,1329,101.00,1,1,SAFE
2025-10-29,20:45:23,-3192,12352,-11004,30.80,72.60,1333,102.00,1,1,SAFE
2025-10-29,20:45:24,-3224,12472,-11060,30.80,72.60,1342,101.00,1,1,SAFE
2025-10-29,20:45:25,-3160,12484,-11204,31.10,72.90,1344,101.00,1,1,SAFE
2025-10-29,20:45:26,-3148,12428,-10908,31.10,72.90,1330,102.00,1,1,SAFE
